## Generated from BK dipole with initial condition: MVe model, Qs0^2 = 6.272225e-02, e_c = 3.464436e+01, C^2 = 4.784157e+00, sigma0/2 = 1.362249e+01
## Fitted to file /home/caaucasu/sidis_fit/data/dipole/posterior/LOmvefit/53.dat
## Note definition of log S(k): log_S(k) = log10 S(k) = log10 [ \int r dr J0(k r) (1 - N(r)) ]
## log10 k grid ranges from -2 to 2 with 500 points
## y grid ranges from 0 to 8.0 with 100 points
y log10_k log10_S(k)
0.000000e+00 -2.000000e+00 8.448511e-01
0.000000e+00 -1.991984e+00 8.448271e-01
0.000000e+00 -1.983968e+00 8.448126e-01
0.000000e+00 -1.975952e+00 8.448062e-01
0.000000e+00 -1.967936e+00 8.448064e-01
0.000000e+00 -1.959920e+00 8.448113e-01
0.000000e+00 -1.951904e+00 8.448191e-01
0.000000e+00 -1.943888e+00 8.448284e-01
0.000000e+00 -1.935872e+00 8.448376e-01
0.000000e+00 -1.927856e+00 8.448455e-01
0.000000e+00 -1.919840e+00 8.448513e-01
0.000000e+00 -1.911824e+00 8.448543e-01
0.000000e+00 -1.903808e+00 8.448543e-01
0.000000e+00 -1.895792e+00 8.448512e-01
0.000000e+00 -1.887776e+00 8.448452e-01
0.000000e+00 -1.879760e+00 8.448366e-01
0.000000e+00 -1.871743e+00 8.448258e-01
0.000000e+00 -1.863727e+00 8.448133e-01
0.000000e+00 -1.855711e+00 8.447996e-01
0.000000e+00 -1.847695e+00 8.447852e-01
0.000000e+00 -1.839679e+00 8.447703e-01
0.000000e+00 -1.831663e+00 8.447553e-01
0.000000e+00 -1.823647e+00 8.447403e-01
0.000000e+00 -1.815631e+00 8.447255e-01
0.000000e+00 -1.807615e+00 8.447109e-01
0.000000e+00 -1.799599e+00 8.446963e-01
0.000000e+00 -1.791583e+00 8.446818e-01
0.000000e+00 -1.783567e+00 8.446671e-01
0.000000e+00 -1.775551e+00 8.446521e-01
0.000000e+00 -1.767535e+00 8.446367e-01
0.000000e+00 -1.759519e+00 8.446206e-01
0.000000e+00 -1.751503e+00 8.446039e-01
0.000000e+00 -1.743487e+00 8.445865e-01
0.000000e+00 -1.735471e+00 8.445682e-01
0.000000e+00 -1.727455e+00 8.445491e-01
0.000000e+00 -1.719439e+00 8.445291e-01
0.000000e+00 -1.711423e+00 8.445082e-01
0.000000e+00 -1.703407e+00 8.444865e-01
0.000000e+00 -1.695391e+00 8.444640e-01
0.000000e+00 -1.687375e+00 8.444406e-01
0.000000e+00 -1.679359e+00 8.444163e-01
0.000000e+00 -1.671343e+00 8.443912e-01
0.000000e+00 -1.663327e+00 8.443651e-01
0.000000e+00 -1.655311e+00 8.443381e-01
0.000000e+00 -1.647295e+00 8.443101e-01
0.000000e+00 -1.639279e+00 8.442811e-01
0.000000e+00 -1.631263e+00 8.442510e-01
0.000000e+00 -1.623246e+00 8.442197e-01
0.000000e+00 -1.615230e+00 8.441873e-01
0.000000e+00 -1.607214e+00 8.441537e-01
0.000000e+00 -1.599198e+00 8.441188e-01
0.000000e+00 -1.591182e+00 8.440825e-01
0.000000e+00 -1.583166e+00 8.440449e-01
0.000000e+00 -1.575150e+00 8.440059e-01
0.000000e+00 -1.567134e+00 8.439654e-01
0.000000e+00 -1.559118e+00 8.439234e-01
0.000000e+00 -1.551102e+00 8.438798e-01
0.000000e+00 -1.543086e+00 8.438346e-01
0.000000e+00 -1.535070e+00 8.437877e-01
0.000000e+00 -1.527054e+00 8.437390e-01
0.000000e+00 -1.519038e+00 8.436885e-01
0.000000e+00 -1.511022e+00 8.436360e-01
0.000000e+00 -1.503006e+00 8.435816e-01
0.000000e+00 -1.494990e+00 8.435252e-01
0.000000e+00 -1.486974e+00 8.434666e-01
0.000000e+00 -1.478958e+00 8.434059e-01
0.000000e+00 -1.470942e+00 8.433428e-01
0.000000e+00 -1.462926e+00 8.432774e-01
0.000000e+00 -1.454910e+00 8.432095e-01
0.000000e+00 -1.446894e+00 8.431391e-01
0.000000e+00 -1.438878e+00 8.430660e-01
0.000000e+00 -1.430862e+00 8.429902e-01
0.000000e+00 -1.422846e+00 8.429115e-01
0.000000e+00 -1.414830e+00 8.428299e-01
0.000000e+00 -1.406814e+00 8.427452e-01
0.000000e+00 -1.398798e+00 8.426573e-01
0.000000e+00 -1.390782e+00 8.425661e-01
0.000000e+00 -1.382766e+00 8.424715e-01
0.000000e+00 -1.374749e+00 8.423733e-01
0.000000e+00 -1.366733e+00 8.422714e-01
0.000000e+00 -1.358717e+00 8.421657e-01
0.000000e+00 -1.350701e+00 8.420560e-01
0.000000e+00 -1.342685e+00 8.419422e-01
0.000000e+00 -1.334669e+00 8.418241e-01
0.000000e+00 -1.326653e+00 8.417016e-01
0.000000e+00 -1.318637e+00 8.415744e-01
0.000000e+00 -1.310621e+00 8.414425e-01
0.000000e+00 -1.302605e+00 8.413056e-01
0.000000e+00 -1.294589e+00 8.411636e-01
0.000000e+00 -1.286573e+00 8.410163e-01
0.000000e+00 -1.278557e+00 8.408633e-01
0.000000e+00 -1.270541e+00 8.407047e-01
0.000000e+00 -1.262525e+00 8.405401e-01
0.000000e+00 -1.254509e+00 8.403692e-01
0.000000e+00 -1.246493e+00 8.401920e-01
0.000000e+00 -1.238477e+00 8.400081e-01
0.000000e+00 -1.230461e+00 8.398173e-01
0.000000e+00 -1.222445e+00 8.396193e-01
0.000000e+00 -1.214429e+00 8.394138e-01
0.000000e+00 -1.206413e+00 8.392007e-01
0.000000e+00 -1.198397e+00 8.389795e-01
0.000000e+00 -1.190381e+00 8.387500e-01
0.000000e+00 -1.182365e+00 8.385119e-01
0.000000e+00 -1.174349e+00 8.382648e-01
0.000000e+00 -1.166333e+00 8.380084e-01
0.000000e+00 -1.158317e+00 8.377424e-01
0.000000e+00 -1.150301e+00 8.374663e-01
0.000000e+00 -1.142285e+00 8.371799e-01
0.000000e+00 -1.134269e+00 8.368828e-01
0.000000e+00 -1.126253e+00 8.365744e-01
0.000000e+00 -1.118236e+00 8.362545e-01
0.000000e+00 -1.110220e+00 8.359225e-01
0.000000e+00 -1.102204e+00 8.355781e-01
0.000000e+00 -1.094188e+00 8.352206e-01
0.000000e+00 -1.086172e+00 8.348498e-01
0.000000e+00 -1.078156e+00 8.344650e-01
0.000000e+00 -1.070140e+00 8.340657e-01
0.000000e+00 -1.062124e+00 8.336514e-01
0.000000e+00 -1.054108e+00 8.332216e-01
0.000000e+00 -1.046092e+00 8.327756e-01
0.000000e+00 -1.038076e+00 8.323128e-01
0.000000e+00 -1.030060e+00 8.318326e-01
0.000000e+00 -1.022044e+00 8.313343e-01
0.000000e+00 -1.014028e+00 8.308173e-01
0.000000e+00 -1.006012e+00 8.302809e-01
0.000000e+00 -9.979960e-01 8.297242e-01
0.000000e+00 -9.899800e-01 8.291467e-01
0.000000e+00 -9.819639e-01 8.285474e-01
