## Generated from BK dipole with initial condition: MVe model, Qs0^2 = 5.069495e-02, e_c = 5.797346e+01, C^2 = 6.379748e+00, sigma0/2 = 1.523760e+01
## Fitted to file /home/caaucasu/sidis_fit/data/dipole/posterior/LOmvefit/37.dat
## Note definition of log S(k): log_S(k) = log10 S(k) = log10 [ \int r dr J0(k r) (1 - N(r)) ]
## log10 k grid ranges from -2 to 2 with 500 points
## y grid ranges from 0 to 8.0 with 100 points
y log10_k log10_S(k)
0.000000e+00 -2.000000e+00 8.911461e-01
0.000000e+00 -1.991984e+00 8.911456e-01
0.000000e+00 -1.983968e+00 8.911500e-01
0.000000e+00 -1.975952e+00 8.911576e-01
0.000000e+00 -1.967936e+00 8.911668e-01
0.000000e+00 -1.959920e+00 8.911761e-01
0.000000e+00 -1.951904e+00 8.911842e-01
0.000000e+00 -1.943888e+00 8.911904e-01
0.000000e+00 -1.935872e+00 8.911938e-01
0.000000e+00 -1.927856e+00 8.911942e-01
0.000000e+00 -1.919840e+00 8.911915e-01
0.000000e+00 -1.911824e+00 8.911859e-01
0.000000e+00 -1.903808e+00 8.911776e-01
0.000000e+00 -1.895792e+00 8.911671e-01
0.000000e+00 -1.887776e+00 8.911548e-01
0.000000e+00 -1.879760e+00 8.911412e-01
0.000000e+00 -1.871743e+00 8.911268e-01
0.000000e+00 -1.863727e+00 8.911119e-01
0.000000e+00 -1.855711e+00 8.910969e-01
0.000000e+00 -1.847695e+00 8.910819e-01
0.000000e+00 -1.839679e+00 8.910671e-01
0.000000e+00 -1.831663e+00 8.910525e-01
0.000000e+00 -1.823647e+00 8.910379e-01
0.000000e+00 -1.815631e+00 8.910234e-01
0.000000e+00 -1.807615e+00 8.910087e-01
0.000000e+00 -1.799599e+00 8.909937e-01
0.000000e+00 -1.791583e+00 8.909784e-01
0.000000e+00 -1.783567e+00 8.909624e-01
0.000000e+00 -1.775551e+00 8.909458e-01
0.000000e+00 -1.767535e+00 8.909284e-01
0.000000e+00 -1.759519e+00 8.909103e-01
0.000000e+00 -1.751503e+00 8.908912e-01
0.000000e+00 -1.743487e+00 8.908714e-01
0.000000e+00 -1.735471e+00 8.908506e-01
0.000000e+00 -1.727455e+00 8.908290e-01
0.000000e+00 -1.719439e+00 8.908066e-01
