## Generated from BK dipole with initial condition: MVe model, Qs0^2 = 6.498769e-02, e_c = 1.917325e+01, C^2 = 6.746660e+00, sigma0/2 = 1.493517e+01
## Fitted to file /home/caaucasu/sidis_fit/data/dipole/posterior/LOmvefit/64.dat
## Note definition of log S(k): log_S(k) = log10 S(k) = log10 [ \int r dr J0(k r) (1 - N(r)) ]
## log10 k grid ranges from -2 to 2 with 500 points
## y grid ranges from 0 to 8.0 with 100 points
y log10_k log10_S(k)
0.000000e+00 -2.000000e+00 8.890087e-01
0.000000e+00 -1.991984e+00 8.890076e-01
0.000000e+00 -1.983968e+00 8.890116e-01
0.000000e+00 -1.975952e+00 8.890190e-01
0.000000e+00 -1.967936e+00 8.890280e-01
0.000000e+00 -1.959920e+00 8.890372e-01
0.000000e+00 -1.951904e+00 8.890454e-01
0.000000e+00 -1.943888e+00 8.890516e-01
0.000000e+00 -1.935872e+00 8.890552e-01
0.000000e+00 -1.927856e+00 8.890558e-01
0.000000e+00 -1.919840e+00 8.890533e-01
0.000000e+00 -1.911824e+00 8.890479e-01
0.000000e+00 -1.903808e+00 8.890398e-01
0.000000e+00 -1.895792e+00 8.890294e-01
0.000000e+00 -1.887776e+00 8.890173e-01
0.000000e+00 -1.879760e+00 8.890038e-01
0.000000e+00 -1.871743e+00 8.889895e-01
0.000000e+00 -1.863727e+00 8.889747e-01
0.000000e+00 -1.855711e+00 8.889597e-01
0.000000e+00 -1.847695e+00 8.889447e-01
0.000000e+00 -1.839679e+00 8.889299e-01
0.000000e+00 -1.831663e+00 8.889152e-01
0.000000e+00 -1.823647e+00 8.889007e-01
0.000000e+00 -1.815631e+00 8.888862e-01
0.000000e+00 -1.807615e+00 8.888715e-01
0.000000e+00 -1.799599e+00 8.888566e-01
0.000000e+00 -1.791583e+00 8.888413e-01
0.000000e+00 -1.783567e+00 8.888254e-01
0.000000e+00 -1.775551e+00 8.888088e-01
0.000000e+00 -1.767535e+00 8.887915e-01
0.000000e+00 -1.759519e+00 8.887734e-01
0.000000e+00 -1.751503e+00 8.887545e-01
0.000000e+00 -1.743487e+00 8.887347e-01
0.000000e+00 -1.735471e+00 8.887140e-01
0.000000e+00 -1.727455e+00 8.886925e-01
0.000000e+00 -1.719439e+00 8.886701e-01
0.000000e+00 -1.711423e+00 8.886469e-01
0.000000e+00 -1.703407e+00 8.886228e-01
0.000000e+00 -1.695391e+00 8.885979e-01
0.000000e+00 -1.687375e+00 8.885720e-01
0.000000e+00 -1.679359e+00 8.885452e-01
0.000000e+00 -1.671343e+00 8.885174e-01
0.000000e+00 -1.663327e+00 8.884886e-01
0.000000e+00 -1.655311e+00 8.884587e-01
0.000000e+00 -1.647295e+00 8.884277e-01
0.000000e+00 -1.639279e+00 8.883956e-01
0.000000e+00 -1.631263e+00 8.883622e-01
0.000000e+00 -1.623246e+00 8.883276e-01
0.000000e+00 -1.615230e+00 8.882916e-01
0.000000e+00 -1.607214e+00 8.882543e-01
