## Generated from BK dipole with initial condition: MVe model, Qs0^2 = 6.085490e-02, e_c = 5.543999e+01, C^2 = 3.441597e+00, sigma0/2 = 1.302271e+01
## Fitted to file /home/caaucasu/sidis_fit/data/dipole/posterior/LOmvefit/3.dat
## Note definition of log S(k): log_S(k) = log10 S(k) = log10 [ \int r dr J0(k r) (1 - N(r)) ]
## log10 k grid ranges from -2 to 2 with 500 points
## y grid ranges from 0 to 8.0 with 100 points
y log10_k log10_S(k)
0.000000e+00 -2.000000e+00 8.157082e-01
0.000000e+00 -1.991984e+00 8.156643e-01
0.000000e+00 -1.983968e+00 8.156315e-01
0.000000e+00 -1.975952e+00 8.156090e-01
0.000000e+00 -1.967936e+00 8.155959e-01
0.000000e+00 -1.959920e+00 8.155908e-01
0.000000e+00 -1.951904e+00 8.155918e-01
0.000000e+00 -1.943888e+00 8.155973e-01
0.000000e+00 -1.935872e+00 8.156056e-01
0.000000e+00 -1.927856e+00 8.156149e-01
0.000000e+00 -1.919840e+00 8.156240e-01
0.000000e+00 -1.911824e+00 8.156316e-01
0.000000e+00 -1.903808e+00 8.156370e-01
0.000000e+00 -1.895792e+00 8.156396e-01
0.000000e+00 -1.887776e+00 8.156391e-01
0.000000e+00 -1.879760e+00 8.156356e-01
0.000000e+00 -1.871743e+00 8.156291e-01
0.000000e+00 -1.863727e+00 8.156201e-01
0.000000e+00 -1.855711e+00 8.156090e-01
0.000000e+00 -1.847695e+00 8.155963e-01
0.000000e+00 -1.839679e+00 8.155825e-01
0.000000e+00 -1.831663e+00 8.155679e-01
0.000000e+00 -1.823647e+00 8.155530e-01
0.000000e+00 -1.815631e+00 8.155379e-01
0.000000e+00 -1.807615e+00 8.155230e-01
0.000000e+00 -1.799599e+00 8.155082e-01
0.000000e+00 -1.791583e+00 8.154936e-01
0.000000e+00 -1.783567e+00 8.154791e-01
0.000000e+00 -1.775551e+00 8.154645e-01
0.000000e+00 -1.767535e+00 8.154498e-01
0.000000e+00 -1.759519e+00 8.154347e-01
0.000000e+00 -1.751503e+00 8.154192e-01
0.000000e+00 -1.743487e+00 8.154031e-01
0.000000e+00 -1.735471e+00 8.153862e-01
0.000000e+00 -1.727455e+00 8.153686e-01
0.000000e+00 -1.719439e+00 8.153502e-01
0.000000e+00 -1.711423e+00 8.153309e-01
0.000000e+00 -1.703407e+00 8.153108e-01
0.000000e+00 -1.695391e+00 8.152898e-01
0.000000e+00 -1.687375e+00 8.152680e-01
0.000000e+00 -1.679359e+00 8.152453e-01
0.000000e+00 -1.671343e+00 8.152218e-01
0.000000e+00 -1.663327e+00 8.151974e-01
0.000000e+00 -1.655311e+00 8.151721e-01
0.000000e+00 -1.647295e+00 8.151459e-01
0.000000e+00 -1.639279e+00 8.151187e-01
0.000000e+00 -1.631263e+00 8.150905e-01
0.000000e+00 -1.623246e+00 8.150613e-01
0.000000e+00 -1.615230e+00 8.150310e-01
0.000000e+00 -1.607214e+00 8.149996e-01
0.000000e+00 -1.599198e+00 8.149670e-01
0.000000e+00 -1.591182e+00 8.149331e-01
0.000000e+00 -1.583166e+00 8.148980e-01
0.000000e+00 -1.575150e+00 8.148615e-01
0.000000e+00 -1.567134e+00 8.148237e-01
0.000000e+00 -1.559118e+00 8.147845e-01
0.000000e+00 -1.551102e+00 8.147437e-01
0.000000e+00 -1.543086e+00 8.147015e-01
0.000000e+00 -1.535070e+00 8.146576e-01
0.000000e+00 -1.527054e+00 8.146121e-01
0.000000e+00 -1.519038e+00 8.145649e-01
0.000000e+00 -1.511022e+00 8.145159e-01
0.000000e+00 -1.503006e+00 8.144651e-01
0.000000e+00 -1.494990e+00 8.144123e-01
0.000000e+00 -1.486974e+00 8.143576e-01
0.000000e+00 -1.478958e+00 8.143008e-01
0.000000e+00 -1.470942e+00 8.142419e-01
0.000000e+00 -1.462926e+00 8.141808e-01
0.000000e+00 -1.454910e+00 8.141173e-01
0.000000e+00 -1.446894e+00 8.140515e-01
0.000000e+00 -1.438878e+00 8.139832e-01
0.000000e+00 -1.430862e+00 8.139124e-01
0.000000e+00 -1.422846e+00 8.138388e-01
0.000000e+00 -1.414830e+00 8.137625e-01
0.000000e+00 -1.406814e+00 8.136834e-01
0.000000e+00 -1.398798e+00 8.136012e-01
0.000000e+00 -1.390782e+00 8.135160e-01
0.000000e+00 -1.382766e+00 8.134276e-01
0.000000e+00 -1.374749e+00 8.133358e-01
0.000000e+00 -1.366733e+00 8.132406e-01
0.000000e+00 -1.358717e+00 8.131418e-01
0.000000e+00 -1.350701e+00 8.130393e-01
0.000000e+00 -1.342685e+00 8.129330e-01
0.000000e+00 -1.334669e+00 8.128226e-01
0.000000e+00 -1.326653e+00 8.127081e-01
0.000000e+00 -1.318637e+00 8.125893e-01
0.000000e+00 -1.310621e+00 8.124660e-01
0.000000e+00 -1.302605e+00 8.123381e-01
0.000000e+00 -1.294589e+00 8.122054e-01
0.000000e+00 -1.286573e+00 8.120677e-01
0.000000e+00 -1.278557e+00 8.119248e-01
0.000000e+00 -1.270541e+00 8.117765e-01
0.000000e+00 -1.262525e+00 8.116227e-01
0.000000e+00 -1.254509e+00 8.114630e-01
0.000000e+00 -1.246493e+00 8.112974e-01
